Health Status,Computer Name,Operating System,IPv4 Addresses,IPv6 Addresses,Last User,Groups,Last Active,InterceptX,Endpoint
Healthy,MDSCOW01,WIN10,10.150.41.43,fe80::1d7:e02e:ac5d:20ac,htorres,,"Jan 19, 2021 1:32 PM",assigned,assigned
Healthy,CPCCMP01,WIN10,10.150.71.1,fe80::853e:6c3c:c0f2:201,msutti,,"Jan 19, 2021 1:31 PM",assigned,assigned
Healthy,BARCMP08,WIN10,10.150.77.33,fe80::1017:fc8f:3072:24e6,jlaque,,"Jan 19, 2021 1:28 PM",assigned,assigned
Healthy,HIMCMP05,WIN10,10.150.20.41,fe80::213a:6b33:a1d:1e0e,iguerrero,,"Jan 19, 2021 1:27 PM",assigned,assigned
Healthy,FINCMP02,WIN10,10.150.71.59,,tgraffeo,,"Jan 19, 2021 1:27 PM",assigned,assigned
Healthy,CSHCMP06,WIN10,10.150.41.53,fe80::196d:8061:2fee:d32,gvaldez,,"Jan 19, 2021 1:26 PM",assigned,assigned
Healthy,SCHCMP02,WIN10,10.150.71.200,fe80::9d04:da44:3baa:f90c,msolis,,"Jan 19, 2021 1:26 PM",assigned,assigned
Healthy,ORMCMP13,WIN10,10.150.70.254,fe80::1133:2cbc:d3bf:abb,pmorehead,,"Jan 19, 2021 1:25 PM",assigned,assigned
Healthy,ADMCMP04,WIN10,10.150.20.27,fe80::f93d:fd3:b852:7555,tolivo,,"Jan 19, 2021 1:24 PM",assigned,assigned
Healthy,MDSCOW02,WIN10,10.150.41.107,fe80::5879:8ff3:201c:6c86,wardclerk,,"Jan 19, 2021 1:24 PM",assigned,assigned
Healthy,CFHCMP01,WIN10,10.150.73.51,fe80::75eb:fb9:6703:a95d,vguerra,,"Jan 19, 2021 1:24 PM",assigned,assigned
Healthy,LABCMP06,WIN10,10.150.74.42,fe80::4115:dd9c:5dd9:2720,acrawford,,"Jan 19, 2021 1:23 PM",assigned,assigned
Healthy,CFELPT01,WIN10,10.150.41.106,fe80::b82f:7d46:cf8b:6fa5,emorin,,"Jan 19, 2021 1:21 PM",assigned,assigned
Healthy,PEDLPT01,WIN10,10.150.41.39,fe80::61a4:6b66:71c7:6da4,anasalazar,,"Jan 19, 2021 1:20 PM",assigned,assigned
Healthy,SCHLPT01,WIN10,10.150.71.146,fe80::65fd:ea6d:9dde:529,rllanas,,"Jan 19, 2021 1:20 PM",assigned,assigned
Healthy,EDMCOW05,WIN10,10.150.41.90,fe80::21fb:506a:522d:43b5,ER,,"Jan 19, 2021 1:19 PM",assigned,assigned
Healthy,EXECMPCFO,WIN10,10.150.71.23,fe80::c17e:c0b9:c42d:6cad,kklein,,"Jan 19, 2021 1:19 PM",assigned,assigned
Healthy,QACMP08,WIN10,10.150.20.72,fe80::8024:f8a0:3d2f:b5d,stackitt,,"Jan 19, 2021 1:18 PM",assigned,assigned
