Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
LVN-GIBSON.local.ecmh.org,-,Win10,5/21/2020,Default Group,N/A
LVN-PITTMAN.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
LVN-WEBEL.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
MA-GRAHAM.local.ecmh.org,-,Win10,5/22/2020,Default Group,N/A
MA-HOLMES.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
MA-LONGORIA.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
MA-Williams.local.ecmh.org,-,Win10,5/20/2020,Default Group,N/A
MA3,-,Win10,1/6/2020,Default Group,N/A
MA5,-,Win10,Online,Default Group,N/A
Maintenance-3.local.ecmh.org,-,Win7,5/20/2020,Default Group,N/A
MARKETING-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
MSB-SurfaceBook.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
NP-Barta.local.ecmh.org,-,Win10,5/26/2020,No Firewall,N/A
NP-BRIDGES.local.ecmh.org,-,Win10,Online,Default Group,N/A
NP-COOK.local.ecmh.org,-,Win10,4/2/2020,Default Group,N/A
NP-FOJT.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
NP-HULSEY.local.ecmh.org,-,Win10,Online,Default Group,N/A
NP-KANA.local.ecmh.org,-,Win10,Online,Default Group,N/A
NP-Reger.local.ecmh.org,-,Win10,4/10/2020,Default Group,N/A
NP-RIHA.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
NP-TURNER.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
Nurse-Carrasco.local.ecmh.org,-,Win10,5/22/2020,Default Group,N/A
PCMCHOSP-MR1.PH.palacioshospital.net,-,Win10,Online,Default Group,N/A
PCMCHOSP-MR2.PH.palacioshospital.net,-,Win10,Online,Default Group,N/A
PCMCHOSP-MS1.PH.palacioshospital.net,-,Win10,Online,Default Group,N/A
PHDC1.PH.palacioshospital.net,Needs Restart,Win2016,Online,Default Group,N/A
RADIOLOGY1.local.ecmh.org,-,Win10,Online,Default Group,N/A
Radiology2.local.ecmh.org,-,Win10,Online,No Firewall,N/A
rfpFAXserver,-,Win10,Online,Default Group,N/A
RFPFD,-,Win10,Online,Default Group,N/A
SBNURSST.PH.palacioshospital.net,-,Win10,Online,Default Group,N/A
SC-CHECKOUT.local.ecmh.org,-,Win10,Online,Default Group,N/A
SC-Reg-C1.local.ecmh.org,-,Win10,Online,No Firewall,N/A
SC-REG-C2.local.ecmh.org,-,Win10,Online,Default Group,N/A
ServerRoomP,-,Win10,Online,No Firewall,N/A
Spare-PC.local.ecmh.org,-,Win10,4/15/2020,Default Group,N/A
SPARE001.local.ecmh.org,-,Win10,Online,Default Group,N/A
Suite-210.local.ecmh.org,-,Win10,Online,Default Group,N/A
Suite230-1.local.ecmh.org,-,Win7,Online,Default Group,N/A
Suite230-2.local.ecmh.org,-,Win7,Online,Default Group,N/A
TCC-17-1059.local.ecmh.org,-,Win10,Online,Default Group,N/A
TCC-18-011.local.ecmh.org,-,Win10,Online,Default Group,N/A
TCC-18-016.local.ecmh.org,-,Win10,Online,Default Group,N/A
